Iter;Beta;NormF;x_0;x_1
0;0.0000000000000000e+00;8.0622577482985491e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;2.8421709430404007e-14;8.0622517946321928e+00;9.9999999999999995e-07;-4.1475688080291153e-08
2;5.6843418860808015e-14;8.0622517946321413e+00;1.0000000852650715e-06;-7.2673554706765226e-07
3;1.4551915228366852e-11;8.0622517946018490e+00;1.0000219131233622e-06;-1.0738542201730761e-05
4;3.7252902984619141e-09;8.0622517906897357e+00;1.0056098448456831e-06;-1.8419221272508382e-04
5;9.5367431640625000e-07;8.0622499207711620e+00;2.4361203604307768e-06;-2.7729862580050616e-03
6;2.4414062500000000e-04;8.0619644985696652e+00;3.6864646310448340e-04;-4.6793572858645875e-02
7;6.2500000000000000e-02;7.9665140200894511e+00;9.4095606059160453e-02;-7.1241954532183482e-01
8;1.0000000000000000e+00;2.8287055132401040e+00;1.5000000000000002e+00;-8.6613904795468644e-01
9;1.0000000000000000e+00;1.8854944056728542e+00;1.5000000000000000e+00;2.8852362146031396e-01
10;1.2500000000000000e-01;1.7677670671611194e+00;1.5000000000000000e+00;-2.8416171887901687e-04
11;2.3841857910156250e-07;1.7677670345802445e+00;1.5000000000000000e+00;2.4022848453123435e-04
12;1.1920928955078125e-07;1.7677669598796166e+00;1.5000000000000000e+00;-6.9917123531820910e-05
13;1.4901161193847656e-08;1.7677669586305798e+00;1.5000000000000000e+00;6.3286665642051072e-05
14;7.4505805969238281e-09;1.7677669531161997e+00;1.5000000000000000e+00;-1.0293018810527007e-05
15;2.3283064365386963e-10;1.7677669529872724e+00;1.5000000000000000e+00;3.8446365240940761e-06
16;2.9103830456733704e-11;1.7677669529674804e+00;1.5000000000000000e+00;-8.8660241661691907e-07
17;1.8189894035458565e-12;1.7677669529665905e+00;1.5000000000000000e+00;3.9567288052801341e-07
18;4.5474735088646412e-13;1.7677669529665159e+00;1.5000000000000000e+00;-3.2264042394915133e-07
19;2.2737367544323206e-13;1.7677669529663882e+00;1.5000000000000000e+00;1.1781444966094660e-07
20;2.8421709430404007e-14;1.7677669529663700e+00;1.5000000000000000e+00;-3.2961354538994500e-08
21;1.7763568394002505e-15;1.7677669529663689e+00;1.5000000000000000e+00;7.2121221692332963e-10
22;0.0000000000000000e+00;1.7677669529663689e+00;1.5000000000000000e+00;7.2121221692332963e-10
