Iter;Beta;NormF;x_0;x_1
0;0.0000000000000000e+00;8.0622577482985491e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;1.7763568394002505e-15;8.0622577482985491e+00;2.3684757858670005e-15;1.1920928718230543e-07
2;4.5474735088646412e-13;8.0622577482976840e+00;6.8003119316993794e-13;1.9143611157302694e-06
3;1.1641532182693481e-10;8.0622577481557229e+00;1.7515260611112259e-10;3.2195426160087741e-05
4;2.9802322387695312e-08;8.0622576937711035e+00;4.4885531572444389e-08;4.9495904116828417e-04
5;7.6293945312500000e-06;8.0622477558816712e+00;1.1488939038592781e-05;8.2019553005997590e-03
6;1.9531250000000000e-03;8.0588303197921629e+00;2.9411546666885148e-03;1.2725431901182921e-01
7;2.5000000000000000e-01;7.0634444387766901e+00;3.7720587844612746e-01;1.0849737066431004e+00
8;1.0000000000000000e+00;2.1915352433548709e+00;1.4999999991113673e+00;5.4740244042709552e-01
9;5.0000000000000000e-01;1.8041185685393935e+00;1.4999999995556836e+00;-1.6032614845611470e-01
10;6.2500000000000000e-02;1.7788004225455361e+00;1.4999999995834534e+00;8.8328031561020787e-02
11;1.5625000000000000e-02;1.7685100638982463e+00;1.4999999995899620e+00;-2.2922887669400066e-02
12;9.7656250000000000e-04;1.7677864666223184e+00;1.4999999995903623e+00;3.7145980196577333e-03
13;3.0517578125000000e-05;1.7677698053287554e+00;1.4999999995903748e+00;-1.4201847717708882e-03
14;3.8146972656250000e-06;1.7677670475474185e+00;1.4999999995903763e+00;2.5860955453269855e-04
15;1.1920928955078125e-07;1.7677669541957020e+00;1.4999999995903763e+00;-2.9483378381373884e-05
16;1.8626451492309570e-09;1.7677669531082083e+00;1.4999999995903763e+00;1.0014752783040733e-05
17;2.3283064365386963e-10;1.7677669529952311e+00;1.4999999995903763e+00;-4.5175728138432646e-06
18;5.8207660913467407e-11;1.7677669529840905e+00;1.4999999995903763e+00;3.5399099560250551e-06
19;2.9103830456733704e-11;1.7677669529699400e+00;1.4999999995903763e+00;-1.5891129271324503e-06
20;7.2759576141834259e-12;1.7677669529687225e+00;1.4999999995903763e+00;1.2899084522013616e-06
21;3.6379788070917130e-12;1.7677669529666737e+00;1.4999999995903763e+00;-4.6397761043792240e-07
22;4.5474735088646412e-13;1.7677669529664017e+00;1.4999999995903763e+00;1.5129642755558373e-07
23;5.6843418860808015e-14;1.7677669529663798e+00;1.4999999995903763e+00;-8.7122187617863413e-08
24;1.4210854715202004e-14;1.7677669529663702e+00;1.4999999995903763e+00;3.2087112318692464e-08
25;3.5527136788005009e-15;1.7677669529663698e+00;1.4999999995903763e+00;-1.7583426587917273e-08
26;0.0000000000000000e+00;1.7677669529663698e+00;1.4999999995903763e+00;-1.7583426587917273e-08
